algorithm,n,comparisons,time
dijkstra,1000,4679316,1.1488275527954102
greedy,1000,985014,0.22273612022399902
dijkstra,2000,19448271,5.186406850814819
greedy,2000,3928035,1.0337498188018799
dijkstra,3000,43272571,14.417942523956299
greedy,3000,8259246,2.824122190475464
